date_published,rating_value_10,rating_value_5,title,body
2025-10-29,8,8,“ only beverage offers”,"✅ Trip Verified | A lot of Junior Crew operating this full flight SQ128(10/28/2025). PTV still display the old safety video version. Multiple times trying the KrisWorld wifi connectivity, it doesn’t work and can’t pair the SQ mobile apps. No earpiece provided and since this is a short flight drinks are the only beverage offers. What surprised me is this is unusual experience without landing announcements made with long taxi to arrival gate. Chat with the Crew while disembarked and they acknowledged and laughing say they forgot."
2025-10-23,2,2,"""lost my luggage""","✅ Trip Verified | I’ve always considered Singapore Airlines one of the world’s leading carriers, but a recent experience has been profoundly disappointing. It has now been over 44 days since the airline lost my luggage, and I have yet to receive a proper response, follow-up, or a meaningful update. I’ve been met with vague, templated replies and no accountability. Each department passes the issue along, but no one resolves it."
2025-10-20,1,1,"“no available overhead""","✅ Trip Verified | SQ177. Booked in February. Checked in online 48 hours prior to flight. However showed up at the counter, and given a new seat. I tried to inquire why, but Agent didn’t speak English. Aboard Couldn’t have my personal effects, and no available overhead. Felt pretty terrible. Crew not willing to assist. SQ Regional not recommended."
2025-10-12,1,1,"""weighing it, declared it overweight""","✅ Trip Verified | This was the worst business-class flight I’ve taken. On the JFK–Singapore–Bangkok route, staff fixated on my carry-on — a Briggs & Riley bag. They insisted on weighing it, declared it overweight, and forced me to buy a replacement carry-on for $156.99 just to board. This same carry-on has flown on every airline I’ve used. The seat was another nightmare. Whoever designed that leg rest clearly never tried sleeping in it. It’s a minor complaint compared with the carry-on fiasco, but it shows how little thought went into this so-called premium experience. The SilverKris Lounge at Terminal 3 in Singapore was unimpressive, and the one in Terminal 2 was a joke."
2025-10-01,8,8,"“on the ground disaster, In the Air Gold!”","✅ Trip Verified | SQ186 SIN-SGN. SQ SIN Ground staff a disaster, just barely displaying connecting flights. No escort, no verification, and no radio calls to hold the gates, like before the Virus. Multiple passengers had T2 Onward Connections. Barely Arrived at Gate with friendly security. Once in, boarding commenced. Crew energetic, and polite. Still haven’t seen new safety video, yet had 3 flights with SQ in 5 days span. Took off, and served a meal. Multiple drink rounds performed, and arrived into SGN. Air Traffic Control Ground must have forgot about us, as it took 10+ minutes to moor at the gate. Captain did make an apology announcement, about it too. After 53 Minutes, cleared Immigration, and couldn’t find the luggage carousel. No SQ agents in sight. SQ on the ground disaster, In the Air Gold!"
2025-10-01,10,10,"""the crew was attentive and visible""","✅ Trip Verified | SQ325 FRA-SIN in Premium Economy. Check in opened early, with polite associate. Initially didn’t know how to read my Visa, for onward flight. Checked me in, and I proceeded to Security. Staff was walking around by the gate checking travel documents. Orderly Boarding commenced. Crew warm, and friendly. A380 Premium Economy seat comfortable. Pushed back late, and took off. Had the first meal, with multiple drink rounds. Throughout the flight crew was attentive, and visible. Second meal served. Arrived into Changi 25+ minutes late, with the aircraft parked quite a distance from the T3 Center."
2025-09-23,4,4,“food was rubbish”,"Not Verified |    While the cabin crew service was ok my food was rubbish. The first meal was a late dinner and the option I chose was not available on the meal trolley the crew member said she would get it from the galley kitchen and deliver it to me. This never happened. The next meal was breakfast. Both choices for this were terrible. Singapore Airlines is rated as one of the best, but this was certainly not the case on this flight."
2025-09-19,8,8,“didn’t receive a Welcome greeting”,"✅ Trip Verified | SQ25 JFK-FRA in Premium Economy. Check in opened early. Had a massive line, but staff were efficient and polite. JFK had a new security style. While boarding crew read my pass wrong, and seated me in Business. I didn’t receive a Welcome Aboard greeting. IFE still doesn’t have Old is Gold section. Round of Champagne came out, followed by dinner. No second round of drinks. Slept through breakfast, and 60 minutes out of FRA. No trash collected, and had to go to the galley to throw my trash. Arrived, and SQ agent announcements were inaudible. Upon getting to Baggage Claim, My Rimowa had its tag removed. Not sure how it arrived in FRA."
2025-09-09,1,1,"""they offered no compensation""","✅ Trip Verified | Their online customer service was horrible, and appears to be run by AI robots who sympathise, but don’t actually help at all. I booked 9 months ahead for my NZ-UK trip so that I got a nice cheap flight with short stopovers. 1.5 months out, Singapore airlines decided to cancel my middle flight, with no explanation as to why. I said ok book me on a new flight, they pointed fingers at the booking agent to fix it. And the booking agent told me there was a technical error on Singapore Air’s system, so they couldn’t do it for me. Both of them pointed fingers blaming the other one for a whole month. So I didn’t have a confirmed flight for over a month while I was just left waiting. Singapore airlines were the ones to finally fix it, but only when I threatened legal action at them. This was after a month of stress and calling both the booking agent and Singapore every day! They then rebooked me onto a much much longer flight that had huge stopovers, meaning I had to fork out for nights accommodation myself in Melbourne, and add an extra day to my travel, and the level of stress I faced was insane. And they offered no compensation for this. I had to fork out $168.80 for their mess up in accommodation, and the extra food. And they refuse to offer any form of compensation. I’ve asked repeatedly, and they say they can’t do anything. My in person service was lovely and can’t fault it. But their online team are honestly useless. All they say is “we understand your frustration, but can’t do anything”."
2025-09-04,1,1,"""luggage was left in Singapore""","✅ Trip Verified | I traveled from Australia to Madrid via Singapore on August 28 with a shared flight operated by Singapore Airlines and Air Europa. Due to a delay, my luggage was left in Singapore. It’s now day 8 and I still haven’t received it. Singapore Airlines blames Air Europa. Air Europa is disorganized and offers no real customer service. No updates, no plan, no accountability."
