date_published,rating_value_10,rating_value_5,title,body
2019-12-01,9,9,"""service is impeccable""","✅ Trip Verified | Amsterdam to Singapore. A fantastic flight with great food. The drinks selection was extensive. I had Umeshu but was disappointed there was no sake. The satay and Pate appetizers welcomed me to Singapore before I arrived in SG. The service is impeccable, and we are known by our names. Will definitely fly Singapore Airlines again."
2019-11-30,1,1,"""Very poor communication""","✅ Trip Verified | Bangkok to Singapore. A mechanical problem with the plane after shifting our gate to a half hour walk away from the original. They go into total chaos, total ineptness. No other plane available. They do not shift passengers onto their other flight, another plane, or other airlines. Four hours later, they send a new plane from Singapore. So six hours delay. The hand writing up of food vouchers for the layover was also quite humorous for 200 passengers. Very poor communication at all times, not even answering direct simple questions. With the checkin process, more than 12 hours living in the airport."
2019-11-28,10,10,"""amazing experience for us""","Not Verified | Johannesburg to Christchurch via Singapore. An amazing experience for us as first time passengers with Singapore Airlines The staff is very friendly and professional, dressed and groomed very well. Their communication with passengers makes is a real feel good experience. Their endless efforts were to keep all passengers comfortable and happy The plane was very clean and hygienic. The entertainment for long flights was top quality and a huge variety is available Right from boarding, wet hot cloths provides to stepping off the plane was a 10/10 experience. Keep it up."
2019-11-27,10,10,"""helpful staff""","✅ Trip Verified | Delhi to Cairns via Singapore with Singapore Airlines. Great service, helpful staff and lovely food with good movies. A staff member helped me a lot while in the boarding pass queue which was great. Good people, good food."
2019-11-27,5,5,"""my experience was far from being positive""","✅ Trip Verified | I have flown SQ a few times before, but find that the current A350 economy class seats are very uncomfortable, at least for a 6' person like me. BLR-SIN was a short haul flight which was even more tightly packed, SIN-MEL was marginally better. MEL-SIN was an older B777, which was far better than the new gen 350s in terms of economy class seats. I had booked SFML, but in every flight ended up getting a piece of tasteless, overcooked fish just dabbed with some tomato sauce - a big difference from my previous experience with seafood meal a few years ago. I do not think I will go for this option any more on Singapore Airlines. The flights were on time, the crew helpful, but overall my experience was far from being positive."
2019-11-26,10,10,"""quick, friendly and precise""","✅ Trip Verified | Milan to Singapore. Singapore Airlines generally runs a tight ship. Service is quick, friendly and precise and they may be the only airline I’ve flown with that offers hot towels to economy passengers (though it’s pretty standard for premium economy). The premium economy seats are well equipped with large seatback displays, large windows, and comfy leather seats, and the food is decent. Nice of them to have a legrest and footrest on the seats and I’m pleased to say most flights were quite punctual. Check in was quick and easy, and planing/deplaning was efficient. Cabin crew exercised caution when assisting guests with stowing luggage in the overhead bins, and they periodically passed by with refreshments"
2019-11-24,5,5,"""my seat not functioning""","✅ Trip Verified | I usually fly Qantas but chose to fly Singapore Airlines this time, I flew Premium economy. Would I fly again, probably not. My first flight resulted in my seat not functioning and the seats were incredibly uncomfortable compared to Scoot (adjoining flight). Service, the female hostesses were fabulous but the male staff were shocking."
2019-11-22,6,6,"""quite disappointing""","✅ Trip Verified | Bengaluru to Brisbane via Singapore. I have been travelling with Singapore Airlines for several years now. I have never had a bad experience ever. The last time we flew, however, was quite disappointing. I observed 2 things - 1) we always order Indian meals and have been satisfied always, but and the quality of the meals this time was quite bad. The first meal was a tasteless serve and the second one was of 3 Quiches (since when are quiches Indian meals?). And they were bad anyway. Furthermore, on the return trip, my wife received 3 oily and smelly Samosas. Who serves 3 samosas in one sitting? What is the chef thinking? 2) the staff while polite was not involved as they usually are. In my experience, Singapore Airlines makes a very conscious attempt to connect with travellers. They aim to make you as comfortable as possible, however, this time there was a non-commital attitude which was very unlike them. I had to ask for water more times then I can remember. Earlier it was always served in intervals because they were prompt. No feedback form was shared too. My child always receives some small talk with the staff and a little gift. This time there was no attention and no gift either."
2019-11-20,6,6,"""The food on this flight was awful""","Not Verified | I have to admit to a huge disappointment on flying economy class with this airline. The outward trip on the A380 was extremely comfortable, flight attendants good but food was awful, something I wasn’t expecting having read about the excellent quality of their meals. My main grumble was the return flight on a 777, I have to say that the seat pitches couldn’t possibly have been the 32” advertised on Skytrax. I am 6ft tall and my knees were touching the seat in front and reclining made little difference as the person in front was fully reclined. I can fully understand how a sardine must feel! The food on this flight was awful, totally lacking in taste. Now I know that some people reading this review will say that if I want more room then fly premium economy or business class, something I would love to do if it was affordable! All in all, flight attendants were wonderful, food was awful and the 777 was diabolical. Sorry Singapore Airlines I won’t be flying with you again other than on a A380."
2019-11-17,1,1,"""disappointed with the food""",✅ Trip Verified | Singapore to Dubai. I was disappointed with the option of foods during flights. We were asked by the FA to choose between chicken sandwich and Hamus with flat bread so I chose the chicken sandwich since I am not a fan of Hamus but it wasn’t available anymore so the FA insisted if I could have the Hamus instead. I just had a cup of coffee. And also I have also asked for water twice during that flight but nothing was given to me. It made me think that they gave only minimal attention to economy passengers.
