date_published,rating_value_10,rating_value_5,title,body
2017-01-06,7,7,"""provided quick lunch service ""","✅ Verified Review | Jakarta to Singapore on the A350-900 (9V-SMD). Check-in was quick since we checked in online and arrived early. Flight left Jakarta slightly behind schedule but arrived on time in Singapore. Flight attendants provided quick lunch service and two drink runs in a short flight (1 hour 20 minutes). Even though they were still very polite and courteous, the FA on this particular flight were not as energized or cheerful as other flights we were in. Entertainment system uses touchscreen system that is very easy to use with lots of choices. Restrooms were clean. Minimum communications from flight deck; we didn't get announcement on which terminal in Singapore we will arrive in and local weather conditions like they usually broadcast before arrival. We have a connecting flight in Singapore from Terminal 3, so I asked several FA for arrival information and they didn't know either. I finally got the informations I needed on arrival terminal (Terminal 2) after looking at the system generated flight informations in the entertainment system; and even informing the FA on this."
2017-01-06,8,8,"""A350 cabin bright and airy""","✅ Verified Review | Singapore to Jakarta on an A350-900 (9V-SMD). Flight left behind schedule. We waited for like 30+ minutes after scheduled departure time on ground in Singapore before push back to avoid getting trapped in air traffic congestion in Jakarta. Excellent communication from Flight Deck. Flight Attendants on this flight worked hard, providing lunch service with two drink runs on a full flight for such a short flight (1 hour 20 minutes). FAs were very cheerful and polite. I pre-ordered in-flight merchandise (aircraft models) and they brought it to me before the flight lands. Aircraft was a new A350, the cabin was bright and airy. and large windows adding to a sense of space. Entertainment using the latest touchscreen which is very easy and fun to use. Only gripe I had was one piece of our luggage was stranded in Singapore and didn't make it on our flight, but after checking with SQ baggage service person in Jakarta we were told that it will arrive on the next flight from Singapore 2.5 hours later. The issue with the delayed/misplaced bag happened most likely because we were connecting in Singapore an hour before this flight from our previous flight from Houston."
2017-01-05,10,10,"""overall an excellent flight""","✅ Verified Review | Houston to Singapore via Manchester on Boeing 77-300ER (9V-SWH). Check-in process at Houston Bush was just OK; they were not as fast or efficient as Qatar check-in next door. Houston to Manchester flight left relatively on time. Cabin Service was great, the FAs did quick hot towel, drinks and dinner service right after take off, and they also provided a birthday cake for my son as was requested. Good communication from the flight deck when there was turbulence coming up so everybody's prepared. Afterwards they dimmed the cabin lights so passengers can rest. FAs worked hard; they kept patrolling the cabin with water and juice runs every 15-30 minutes or so throughout the night, and occasional snack runs too (sandwiches, chocolate, fruits). Had breakfast before we landed, and arrived at Manchester ahead of schedule. Manchester to Singapore flight left behind schedule but they catch up and arrived on time in Singapore. Fresh set of crew from Manchester provided excellent service; the FA offered three meal services throughout the 13 hours flight (Breakfast, Lunch and light Supper) plus snack and drinks in between. We're kept full at all times with good food choices. Leading FA engaged me to ensure that my son had had his birthday cake as requested, even offering another one for this leg, which we politely refused (his birthday was already over!). Good communication from flight deck regarding arriving terminal and local weather. Cabin crew on both legs ensure that the restrooms were always cleaned and in pristine condition. Entertainment system was easy to use, a slightly older version without touch screen, and even though it may not have an obscenely extensive entertainment choice like Emirates, they have a large collection of movies and TV series including new releases that is more than enough to keep you entertained throughout both legs. Overall an excellent flight. **DOING"
2017-01-05,3,3,"""SQ have really dropped the ball""","✅ Verified Review | Melbourne to London return via Singapore. Have always Singapre Airlines with high regard until my most recent trip to London. When we booked in January 2015, we could not book premium economy on the MEL to SIN leg, as at that time there was no premium economy on this leg. This has now changed but only on some flights. MEL to SIN in Economy, an older plane with inflight entertainment screen to boot. The screen was awful, so if you flying on another SIA flight, hold back and watch the movies you want to watch on a better screen. Service was very average, IFE was poor, food was very poor. Singapore to London in Premium Economy The only advantage in taking premium economy is the seat pitch and thats it. This is a very poor attempt at premium economy and it is a complete rip off. Inflight entertainment was poor, a much larger screen, so great for movies, the only plus. My small hand held control panel did not work. The entertainment system kept resetting itself at the end of every movie or programme. One ear in the headphones did not work. Service was poor - In premium economy you are placed in front of economy and behind business class. The service is provided by the economy cabin staff. Could not call for service as my hand held control panel did not work. The toilets are down in economy, none near premium economy. Food was very Poor - Economy class food. The only reason why I've given a score of 2 is because they have the book the cook service, but that is still economy class standard food. Remember, you are paying double the price for this seat. Flight arrived 25 minutes late. Return legs London to Singapore in premium economy was exactly the same but this time the entertainment system kept resetting itself, the headphones worked and so did the hand held control panel. Singapore to Melbourne in Economy - the breakfast on economy is as poor as you get with airline food. A cold bread roll, hard cold butter, cold muffin, cold unripe fruit. The TV screen on this plane was up to date but still had issues with it freezing. We had a seat between us, so basically it was the same as flying premium economy but without paying twice the price. I had made a complaint to SQ a month before flying and this complaint has not been responded to. On all counts SQ have really dropped the ball. I would not recommend Singapore Airlines, especially if you are looking to fly premium economy."
2017-01-04,8,8,"""A350 makes flights easy""","✅ Verified Review | San Francisco to Singapore. A good experience on Singapore Airlines with a few hiccups. We got the middle seat to ourselves in economy which made the 16.5 hour journey quite pleasant. The nicest part of this flight is the actual aircraft. The A350 makes such non stop flights easy on the body. A plus for Singapore Airlines for including this in their fleet. Service standards are good, but quite often I feel that SQ have a pretty rushed and least patient service on the San Francisco route. The cabin was overall clean but there was some muck above my window which I had to clean. Biggest disappointment was when I asked for the Singapore immigration card and the crew member told me they hadn't brought any on the flight. 2 hours later another crew member started offering them. An apology for the error was not forthcoming which was the actual annoyance."
2017-01-04,8,8,"""flight attendants were exceptionally friendly""","✅ Verified Review | An excellent flight with Singapore Airlines from Wellington to Canberra. The flight attendants were exceptionally friendly, professional and attentive. The food was also very good. The seat was perfectly adequate for the three hour flight and looked ok for an overnight service. If I did have one complaint, it would be that the cabin was uncomfortably warm. The flight left on time, arrived early and I was out the front door of Canberra airport ten minutes after touch down, a great new option between the capital cities that I look forward to using on a regular basis."
2017-01-03,10,10,"""the services were fantastic""","✅ Verified Review | We flew Singapore Airlines from Surabaya to Singapore for Christmas and New Year holidays. Our flight was delayed by approximately 15 minutes due to traffic congestion at Juanda International Airport. Despite the delay, we landed on time at Changi International Airport. The services on the ground and in the air were fantastic and the meals were quite tasty. We were very happy to fly with Singapore Airlines and will continue to use it."
2017-01-02,4,4,"""not fly again long haul""","✅ Verified Review | London to Singapore return, and the Premium Economy experience was very poor. Despite booking some months in advance, they neglected to allocate us any seats together and our party of 4 was distributed throughout the cabin. The seat configuration is 2-4-2 and there are no toilets specifically for Premium Economy. Rather than a separate cabin curtained off, Premium Economy is just the front section of the economy section. The seats were functional and inflight entertainment good but seat pitch is less than Air NZ. The food was terrible. We used the ""book the cook"" option on the return flight and this was no better, though they did manage to accomodate an allergy in our group. The staff were unfriendly and snacks on the 14 hour flight (2 meals were offered, the second 6 hours before arrival) had to be requested via the call button. The flight arrived early and the plane was quite new but would not fly Singapore Airlines again long haul."
2017-01-02,1,1,"""make sure to read all 20 pages of T&Cs""","✅ Verified Review | Melbourne to London via Singapore. If you book on line make sure to read all 20 pages of the Terms and Conditions. I have been an Elite Gold KrisFlyer member for 15 years and have previously considered Singapore Airlines as one of my preferred airlines. Not any more. All I wanted to do was buy an Economy Class ticket and use points to upgrade to business class (my daughter was the passenger). So I went on line and selected the cabin class that allowed upgrades. The web site showed a tick that this was possible and the ticket that I subsequently purchased likewise confirmed that class E tickets are eligible for upgrades. What they don't tell you is that upgrades are only permissible to the next available cabin class and that as most international flights have a Premium Economy cabin you can not upgrade from regular economy to business class. This little known rule is buried deep in the terms and conditions (section F, para 24, sub section a)) which almost nobody ever reads, it is 20+ pages long. And if you want your money back then there is a $200 cancellation fee. I have cut up my Elite Gold card and will never fly with Singapore Airlines again."
2016-12-31,1,1,"""magnitude of change inexcusable""","✅ Verified Review | New York to Chiang Mai return via Singapore booked for March 2017. Days after making the reservation well in advance (through Orbitz), I was notified of a minor change in schedule. No problem. A couple of days later I received another change, this one a 22 hour flight delay requiring almost a full extra day of travel spent in Singapore. Singapore Airlines policy gave me these choices: Accept the change (ridiculous), or provide them with 3 alternatives in order of preference. They then choose which one you will fly. The passenger cannot choose and have that choice confirmed. Or cancel the ticket (full refund) and start over. In this case, no other same-day flight Singapore to Chiang Mai was available, so the alternatives reduced to an extra connecting flight through Bangkok, losing 2 hours, or extra connecting flight through Bangkok, losing 4 hours, or connection through Hong Kong and losing approximately 15 hours in transit. But if you say okay to these choices ""you could end up with any one of them"", and all are inferior to the original reservation. I cancelled, and will not be booking this airline again. This magnitude of change is inexcusable and the subsequent policy absurd."
